glottal_gap,time
0.06,0
0.06,0.0001
0.059537513,0.0002
0.05841771,0.0003
0.0572445,0.0004
0.056205176,0.0005
0.055234893,0.0006
0.054334082,0.0007
0.053391636,0.0008
0.052348762,0.0009
0.051187833,0.001
0.049923125,0.0011
0.048587631,0.0012
0.047232689,0.0013
0.04590752,0.0014
0.044655637,0.0015
0.043504337,0.0016
0.042467633,0.0017
0.041544101,0.0018
0.040720905,0.0019
0.039976061,0.002
0.039288515,0.0021
0.038650192,0.0022
0.03808083,0.0023
0.037634555,0.0024
0.037394573,0.0025
0.037451784,0.0026
0.037876001,0.0027
0.038690855,0.0028
0.039866413,0.0029
0.041332698,0.003
0.043008147,0.0031
0.044828123,0.0032
0.046761785,0.0033
0.048812257,0.0034
0.051004561,0.0035
0.053369163,0.0036
0.055899671,0.0037
0.058579922,0.0038
0.061436376,0.0039
0.064479001,0.004
0.067688955,0.0041
0.071047447,0.0042
0.074529945,0.0043
0.078110609,0.0044
0.081763657,0.0045
0.085463553,0.0046
0.089186254,0.0047
0.09290993,0.0048
0.096199923,0.0049
0.099319247,0.005
0.1024597,0.0051
0.105197041,0.0052
0.107755668,0.0053
0.109729675,0.0054
0.111398342,0.0055
0.112768247,0.0056
0.113793357,0.0057
0.114449334,0.0058
0.114986166,0.0059
0.115106975,0.006
0.115216848,0.0061
0.115014918,0.0062
0.114713411,0.0063
0.114420718,0.0064
0.114154061,0.0065
0.113926637,0.0066
0.113513522,0.0067
0.113164138,0.0068
0.112910248,0.0069
0.112750744,0.007
0.112672396,0.0071
0.112656373,0.0072
0.11268075,0.0073
0.112723398,0.0074
0.112763163,0.0075
0.112781554,0.0076
0.112765152,0.0077
0.11270689,0.0078
0.112604412,0.0079
0.112456717,0.008
0.112261614,0.0081
0.11201499,0.0082
0.111710868,0.0083
0.111341429,0.0084
0.110897033,0.0085
0.110206795,0.0086
0.109284508,0.0087
0.10825715,0.0088
0.107126952,0.0089
0.105792368,0.009
0.104106861,0.0091
0.102328405,0.0092
0.100333431,0.0093
0.098077597,0.0094
0.095786016,0.0095
0.093220783,0.0096
0.090566733,0.0097
0.087905769,0.0098
0.084971732,0.0099
0.082070807,0.01
0.079224694,0.0101
0.076172007,0.0102
0.073192274,0.0103
0.070311371,0.0104
0.067519586,0.0105
0.064610432,0.0106
0.061823152,0.0107
0.059183383,0.0108
0.056702427,0.0109
0.054282016,0.011
0.051831297,0.0111
0.049544044,0.0112
0.047443746,0.0113
0.04553808,0.0114
0.04382977,0.0115
0.042322478,0.0116
0.040998494,0.0117
0.039568458,0.0118
0.038360534,0.0119
0.03741622,0.012
0.036748279,0.0121
0.036358134,0.0122
0.036246589,0.0123
0.03640943,0.0124
0.03683921,0.0125
0.03752344,0.0126
0.03844466,0.0127
0.039580493,0.0128
0.040905005,0.0129
0.042389749,0.013
0.044005178,0.0131
0.045721549,0.0132
0.047509768,0.0133
0.049341786,0.0134
0.051190908,0.0135
0.053031869,0.0136
0.054840902,0.0137
0.056568468,0.0138
0.058170198,0.0139
0.059654831,0.014
0.061025928,0.0141
0.062267681,0.0142
0.063370071,0.0143
0.064322632,0.0144
0.06511791,0.0145
0.065751443,0.0146
0.066220339,0.0147
0.066522849,0.0148
0.066658042,0.0149
0.066625981,0.015
0.066428035,0.0151
0.066067093,0.0152
0.065547777,0.0153
0.064876473,0.0154
0.064061452,0.0155
0.063112921,0.0156
0.062067267,0.0157
0.060957172,0.0158
0.059769205,0.0159
0.058499844,0.016
0.057167902,0.0161
0.055790588,0.0162
0.054388841,0.0163
0.052983909,0.0164
0.051597274,0.0165
0.050251342,0.0166
0.048969203,0.0167
0.047774319,0.0168
0.046689956,0.0169
0.045738693,0.017
0.0449421,0.0171
0.044320381,0.0172
0.043892081,0.0173
0.043673621,0.0174
0.043678873,0.0175
0.043918734,0.0176
0.04440088,0.0177
0.045129671,0.0178
0.046106241,0.0179
0.047328657,0.018
0.048792097,0.0181
0.050488955,0.0182
0.052408882,0.0183
0.054538834,0.0184
0.056863241,0.0185
0.059364345,0.0186
0.06196951,0.0187
0.064453553,0.0188
0.067061567,0.0189
0.069794681,0.019
0.072633218,0.0191
0.075550614,0.0192
0.078522035,0.0193
0.081468944,0.0194
0.084064903,0.0195
0.086683718,0.0196
0.089328056,0.0197
0.091586476,0.0198
0.09381421,0.0199
0.095916421,0.02
0.097752217,0.0201
0.099600625,0.0202
0.101157491,0.0203
0.102646631,0.0204
0.1041401,0.0205
0.105374224,0.0206
0.106533812,0.0207
0.107677718,0.0208
0.108791016,0.0209
0.109648278,0.021
0.110425245,0.0211
0.111149409,0.0212
0.11180739,0.0213
0.112382519,0.0214
0.112861316,0.0215
0.113137868,0.0216
0.113282064,0.0217
0.113333756,0.0218
0.113288122,0.0219
0.113136119,0.022
0.112868795,0.0221
0.112479337,0.0222
0.111964319,0.0223
0.111323559,0.0224
0.110559428,0.0225
0.109675934,0.0226
0.108678076,0.0227
0.107571404,0.0228
